SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
993491,OHY,000000-00-0,,5,GALLON(S),HYDRAULIC OIL,NO,,
993494,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
993495,NCC,000000-00-0,,0,UNKNOWN AMOUNT,TOXIC TREATED FRACKING SAND,YES,0,UNKNOWN AMOUNT
993497,OTH,000000-00-0,,0,UNKNOWN AMOUNT,OIL BASED WATER,YES,0,UNKNOWN AMOUNT
993498,OTW,000000-00-0,,40,GALLON(S),"OIL, FUEL: NO. 2",NO,,
993499,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993500,NCC,000000-00-0,,0,UNKNOWN AMOUNT,ASBESTOS,NO,,
993501,OTH,000000-00-0,,2,GALLON(S),MIXTURE OF DIESEL FUEL AND LUBE OIL,YES,2,GALLON(S)
993502,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
993502,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
993502,OHY,000000-00-0,,0,UNKNOWN AMOUNT,HYDRAULIC OIL,NO,,
993504,EOX,000075-21-8,,20,POUND(S),ETHYLENE OXIDE,YES,20,POUND(S)
993505,OIL,000000-00-0,,13,GALLON(S),OIL: CRUDE,YES,13,GALLON(S)
993507,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993509,ODS,000000-00-0,,35,GALLON(S),OIL: DIESEL,YES,5,GALLON(S)
993510,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993512,OLB,000000-00-0,,8,OUNCE(S),"OIL, MISC: LUBRICATING",YES,8,OUNCE(S)
993514,NCC,000000-00-0,,60,GALLON(S),NON-HAZARDOUS STEARYL ALCOHOL,YES,5,GALLON(S)
993516,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993518,OHY,000000-00-0,,20,LITER(S),HYDRAULIC OIL,YES,20,LITER(S)
993519,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993525,CSS,000000-00-0,,240,GALLON(S),CAUSTIC SODA SOLUTION,NO,,
993525,SHC,007681-52-9,,120,GALLON(S),SODIUM HYPOCHLORITE,NO,,
